company,ticker,cik,gics_sector,form,file_date,period_ending,accession_number,file_id,file_type,filing_index_url,doc_url,classification,matched_snippet
Blackstone Inc.,BX,1393818,Financials,10-Q,2025-08-08,2025-06-30,0001193125-25-176984,0001193125-25-176984:d83467d10q1.pdf,10-Q,https://www.sec.gov/Archives/edgar/data/1393818/000119312525176984/0001193125-25-176984-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312525176984/d83467d10q1.pdf,no_match,
Constellation Brands,STZ,16918,Consumer Staples,8-K,2025-09-02,2025-09-02,0000016918-25-000132,0000016918-25-000132:stzex992_presentation.pdf,EX-99.2,https://www.sec.gov/Archives/edgar/data/16918/000001691825000132/0000016918-25-000132-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691825000132/stzex992_presentation.pdf,no_match,
Constellation Brands,STZ,16918,Consumer Staples,8-K,2026-06-30,2026-06-30,0000016918-26-000028,0000016918-26-000028:stzex99-1_053126.pdf,EX-99.1,https://www.sec.gov/Archives/edgar/data/16918/000001691826000028/0000016918-26-000028-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691826000028/stzex99-1_053126.pdf,no_match,
Constellation Brands,STZ,16918,Consumer Staples,8-K,2025-07-01,2025-07-01,0000016918-25-000074,0000016918-25-000074:stzex99-1_053125.pdf,EX-99.1,https://www.sec.gov/Archives/edgar/data/16918/000001691825000074/0000016918-25-000074-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691825000074/stzex99-1_053125.pdf,no_match,
Constellation Brands,STZ,16918,Consumer Staples,8-K,2026-01-07,2026-01-07,0000016918-26-000002,0000016918-26-000002:stzex99-1_113025.pdf,EX-99.1,https://www.sec.gov/Archives/edgar/data/16918/000001691826000002/0000016918-26-000002-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691826000002/stzex99-1_113025.pdf,no_match,
Constellation Brands,STZ,16918,Consumer Staples,8-K,2025-10-06,2025-10-06,0000016918-25-000140,0000016918-25-000140:stzex99-1_083125.pdf,EX-99.1,https://www.sec.gov/Archives/edgar/data/16918/000001691825000140/0000016918-25-000140-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691825000140/stzex99-1_083125.pdf,no_match,
Constellation Brands,STZ,16918,Consumer Staples,8-K,2026-04-08,2026-04-08,0000016918-26-000008,0000016918-26-000008:stzex99-1_022826.pdf,EX-99.1,https://www.sec.gov/Archives/edgar/data/16918/000001691826000008/0000016918-26-000008-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691826000008/stzex99-1_022826.pdf,no_match,
Constellation Brands,STZ,16918,Consumer Staples,8-K,2025-04-09,2025-04-09,0000016918-25-000017,0000016918-25-000017:stzex99-1_022825.pdf,EX-99.1,https://www.sec.gov/Archives/edgar/data/16918/000001691825000017/0000016918-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/16918/000001691825000017/stzex99-1_022825.pdf,no_match,
Freeport-McMoRan,FCX,831259,Materials,10-K,2026-02-13,2025-12-31,0000831259-26-000012,0000831259-26-000012:a2025trsmorenci-finalxpubl.pdf,EX-96.3,https://www.sec.gov/Archives/edgar/data/831259/000083125926000012/0000831259-26-000012-index.htm,https://www.sec.gov/Archives/edgar/data/831259/000083125926000012/a2025trsmorenci-finalxpubl.pdf,no_match,
