company,ticker,cik,gics_sector,form,file_date,period_ending,accession_number,file_id,file_type,filing_index_url,doc_url,classification,matched_snippet,exclusion_reason
Constellation Energy,CEG,1868275,Utilities,10-Q,2026-05-11,2026-03-31,0001868275-26-000067,0001868275-26-000067:ceg-20260331.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000067/0001868275-26-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000067/ceg-20260331.htm,utility_only,"table of contents other key business drivers pjm market reform in january 2026, the national energy dominance council, with support from governors within the pjm territory, urged pjm to file proposed tariff revisions at ferc to improve reliability and cost-effectiveness within its capacity auctions. during the first quarter of 2026, pjm began stakeholder discussions and preparatory work in response to t",
Constellation Energy,CEG,1868275,Utilities,8-K,2025-12-09,2025-12-09,0001104659-25-119690,0001104659-25-119690:tm2532248d2_ex99-2.htm,EX-99.2,https://www.sec.gov/Archives/edgar/data/1868275/000110465925119690/0001104659-25-119690-index.htm,https://www.sec.gov/Archives/edgar/data/1868275/000110465925119690/tm2532248d2_ex99-2.htm,utility_only,"gencies to include ferc, cftc, nrc and similarly structured agencies to, among other things, coordinate with the white house on legal and policy matters. the trump administration also has imposed new tariffs and announced its intent to impose additional new tariffs, creating a shifting landscape for trade that could affect calpine&rsquo;s businesses. &nbsp; 44 &#160; &nbsp; in recent months, following t",
Diamondback Energy,FANG,1539838,Energy,10-K,2025-02-26,2024-12-31,0001539838-25-000021,0001539838-25-000021:fang-20241231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1539838/000153983825000021/0001539838-25-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983825000021/fang-20241231.htm,utility_only,"the transportation of oil in common carrier pipelines is also subject to rate regulation. ferc regulates interstate oil pipeline transportation rates under the interstate commerce act, and we have a tariff on file with ferc to perform oil gathering service in interstate commerce. intrastate oil pipeline transportation rates are subject to regulation by state regulatory commissions. the basis for intras",
Dominion Energy,D,715957,Utilities,10-Q,2026-05-01,2026-03-31,0001193125-26-200275,0001193125-26-200275:d-20260331.htm,10-Q,https://www.sec.gov/Archives/edgar/data/715957/000119312526200275/0001193125-26-200275-index.htm,https://www.sec.gov/Archives/edgar/data/715957/000119312526200275/d-20260331.htm,utility_only,"late february 2026 and tariffs which became effective in late february 2026, &#160; 34 &#160; &#160; as well as previously included estimated impacts of a temporary suspension of work order, certain tariffs which became effective during 2025 and revised network upgrade costs assigned by pjm to the cvow commercial project. as discussed below, the expected total project cost does not include the impact o",
Dominion Energy,D,715957,Utilities,10-K,2026-02-23,2025-12-31,0001193125-26-063120,0001193125-26-063120:d-20251231.htm,10-K,https://www.sec.gov/Archives/edgar/data/715957/000119312526063120/0001193125-26-063120-index.htm,https://www.sec.gov/Archives/edgar/data/715957/000119312526063120/d-20251231.htm,utility_only,"re. regulation virginia power&#8217;s electric distribution and generation operations, including the rates it may charge to jurisdictional customers, as well as wholesale electric transmission rates, tariffs and terms of service, are subject to regulation by the virginia and north carolina commissions as well as ferc, nrc, epa, doe, u.s. army corps of engineers, boem and other federal, state and local a",
Dominion Energy,D,715957,Utilities,10-K,2025-02-27,2024-12-31,0000950170-25-028387,0000950170-25-028387:d-20241231.htm,10-K,https://www.sec.gov/Archives/edgar/data/715957/000095017025028387/0000950170-25-028387-index.htm,https://www.sec.gov/Archives/edgar/data/715957/000095017025028387/d-20241231.htm,utility_only,"re. regulation virginia power&#8217;s electric distribution and generation operations, including the rates it may charge to jurisdictional customers, as well as wholesale electric transmission rates, tariffs and terms of service, are subject to regulation by the virginia and north carolina commissions as well as ferc, nrc, epa, doe, u.s. army corps of engineers, boem and other federal, state and local a",
DTE Energy,DTE,936340,Utilities,10-K,2026-02-17,2025-12-31,0000936340-26-000054,0000936340-26-000054:a20251231exhibit102.htm,EX-10.2,https://www.sec.gov/Archives/edgar/data/936340/000093634026000054/0000936340-26-000054-index.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634026000054/a20251231exhibit102.htm,utility_only,"ually collected by company from miso for operating reserve, up ramp capability, down ramp capability, short-term reserve, regulating reserve, and other ancillary services (each as defined in the miso tariff) for each project in the project portfolio. &#8220; annual project revenue requirement &#8221; means, with respect to a project, the cost to company (including company&#8217;s commission authorized r",
DTE Energy,DTE,936340,Utilities,10-K,2026-02-17,2025-12-31,0000936340-26-000054,0000936340-26-000054:a20251231exhibit101.htm,EX-10.1,https://www.sec.gov/Archives/edgar/data/936340/000093634026000054/0000936340-26-000054-index.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634026000054/a20251231exhibit101.htm,utility_only,"iso notice &#8221; has the meaning set forth in section 5.3.3 . &#8220; miso planning resource auction &#8221; has the meaning ascribed to the term &#8220;planning resource auction&#8221; in the miso tariff and shall include any successor term and mechanism used by miso to purchase and sell capacity. &#8220; miso tariff &#8221; means the miso open access transmission, energy and operating reserve market",
DTE Energy,DTE,936340,Utilities,10-Q,2026-04-30,2026-03-31,0000936340-26-000081,0000936340-26-000081:a20260331ex101.htm,EX-10.1,https://www.sec.gov/Archives/edgar/data/936340/000093634026000081/0000936340-26-000081-index.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634026000081/a20260331ex101.htm,utility_only,"iso notice &#8221; has the meaning set forth in section 5.3.3 . &#8220; miso planning resource auction &#8221; has the meaning ascribed to the term &#8220;planning resource auction&#8221; in the miso tariff and shall include any successor term and mechanism used by miso to purchase and sell capacity. &#8220; miso tariff &#8221; means the miso open access transmission, energy and operating reserve market",
DTE Energy,DTE,936340,Utilities,8-K,2026-02-27,2026-02-27,0000936340-26-000058,0000936340-26-000058:dtegasexhibit991123125.htm,EX-99.1,https://www.sec.gov/Archives/edgar/data/936340/000093634026000058/0000936340-26-000058-index.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634026000058/dtegasexhibit991123125.htm,utility_only,"s natural gas storage and transportation facilities in michigan as intrastate facilities regulated by the mpsc and provides intrastate storage and transportation services pursuant to an mpsc-approved tariff. the company also provides interstate storage and transportation services in accordance with an operating statement on file with the ferc. the ferc's jurisdiction is limited and extends to the rates,",
DTE Energy,DTE,936340,Utilities,10-K,2025-02-13,2024-12-31,0000936340-25-000065,0000936340-25-000065:dte-20241231.htm,10-K,https://www.sec.gov/Archives/edgar/data/936340/000093634025000065/0000936340-25-000065-index.htm,https://www.sec.gov/Archives/edgar/data/936340/000093634025000065/dte-20241231.htm,utility_only,"es natural gas storage and transportation facilities in michigan as intrastate facilities regulated by the mpsc and provides intrastate storage and transportation services pursuant to a mpsc-approved tariff. dte gas also provides interstate storage and transportation services in accordance with an operating statement on file with the ferc. the ferc's jurisdiction is limited and extends to the rates, non",
